;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2020;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Mayo de 2021;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Principal;1;OFICIAL;4;Universidad;54;Norte de Santander;54001;San José de Cúcuta;2020;1;190;45;102;7;344
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Principal;1;OFICIAL;4;Universidad;54;Norte de Santander;54001;San José de Cúcuta;2020;2;145;3;74;7;229
1210;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Seccional;1;OFICIAL;4;Universidad;54;Norte de Santander;54498;Ocaña;2020;1;145;40;241;8;434
1210;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Seccional;1;OFICIAL;4;Universidad;54;Norte de Santander;54498;Ocaña;2020;2;120;34;243;8;405
1212;1212;UNIVERSIDAD DE PAMPLONA;Principal;1;OFICIAL;4;Universidad;54;Norte de Santander;54518;Pamplona;2020;1;83;98;38;39;258
1212;1212;UNIVERSIDAD DE PAMPLONA;Principal;1;OFICIAL;4;Universidad;54;Norte de Santander;54518;Pamplona;2020;2;83;98;38;39;258
1213;1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;Principal;1;OFICIAL;4;Universidad;47;Magdalena;47001;Santa Marta;2020;1;1;101;136;60;298
1213;1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;Principal;1;OFICIAL;4;Universidad;47;Magdalena;47001;Santa Marta;2020;2;1;102;138;61;302
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Principal;1;OFICIAL;4;Universidad;25;Cundinamarca;25290;Fusagasugá;2020;1;186;118;86;37;427
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Principal;1;OFICIAL;4;Universidad;25;Cundinamarca;25290;Fusagasugá;2020;2;148;113;84;38;383
1215;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Seccional;1;OFICIAL;4;Universidad;25;Cundinamarca;25307;Girardot;2020;1;44;10;8;1;63
1215;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Seccional;1;OFICIAL;4;Universidad;25;Cundinamarca;25307;Girardot;2020;2;34;5;8;1;48
1216;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Seccional;1;OFICIAL;4;Universidad;25;Cundinamarca;25843;Villa de San Diego de Ubaté;2020;1;16;3;12;1;32
1216;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Seccional;1;OFICIAL;4;Universidad;25;Cundinamarca;25843;Villa de San Diego de Ubaté;2020;2;13;3;10;1;27
1217;1217;UNIVERSIDAD DE SUCRE;Principal;1;OFICIAL;4;Universidad;70;Sucre;70001;Sincelejo;2020;1;147;14;46;11;218
1217;1217;UNIVERSIDAD DE SUCRE;Principal;1;OFICIAL;4;Universidad;70;Sucre;70001;Sincelejo;2020;2;126;14;18;37;195
1218;1218;UNIVERSIDAD DE LA GUAJIRA;Principal;1;OFICIAL;4;Universidad;44;La Guajira;44001;Riohacha;2020;1;72;95;40;59;266
1218;1218;UNIVERSIDAD DE LA GUAJIRA;Principal;1;OFICIAL;4;Universidad;44;La Guajira;44001;Riohacha;2020;2;75;95;40;60;270
1219;1201;UNIVERSIDAD DE ANTIOQUIA;Seccional;1;OFICIAL;4;Universidad;05;Antioquia;05148;El Carmen de Viboral;2020;1;5;0;2;1;8
