"codigo.de..la.institucion","ies.padre","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","id.caracter.ies","caracter.ies","codigo.del..departamento..ies.","departamento.de..domicilio.de.la.ies","codigo.del..municipio..ies.","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
9103,9103,"escuela militar de aviacion marco fidel suarez","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",76,"valle del cauca",76001,"cali",2014,1,11,4,55,9,79
1113,1113,"universidad de cordoba","principal",1,"oficial",3,"universidad",23,"cordoba",23001,"monteria",2014,1,0,0,0,0,0
1218,1218,"universidad de la guajira","principal",1,"oficial",3,"universidad",44,"la guajira",44001,"riohacha",2014,1,58,24,63,13,158
9125,1201,"universidad de antioquia","seccional",1,"oficial",3,"universidad",5,"antioquia",5042,"santafe de antioquia",2014,1,1,0,1,1,3
1204,1204,"universidad industrial de santander","principal",1,"oficial",3,"universidad",68,"santander",68001,"bucaramanga",2014,1,177,97,35,91,400
1210,1209,"universidad francisco de paula santander","seccional",1,"oficial",3,"universidad",54,"norte de santander",54498,"ocana",2014,1,159,35,178,7,379
3902,3902,"escuela  militar de suboficiales sargento inocencio chinca","principal",1,"oficial",3,"institucion tecnologica",25,"cundinamarca",25488,"nilo",2014,1,22,4,3,1,30
3104,3104,"colegio mayor del cauca","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",19,"cauca",19001,"popayan",2014,1,13,4,9,5,31
1126,1101,"universidad nacional de colombia","seccional",1,"oficial",3,"universidad",88,"san andres y providencia",88001,"san andres",2014,1,3,0,3,5,11
1105,1105,"universidad pedagogica nacional","principal",1,"oficial",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
1223,1201,"universidad de antioquia","seccional",1,"oficial",3,"universidad",5,"antioquia",5837,"turbo",2014,1,2,0,0,1,3
3303,3303,"escuela superior tecnologica de artes debora arango","principal",1,"oficial",3,"institucion tecnologica",5,"antioquia",5266,"envigado",2014,1,8,9,14,6,37
4102,4102,"instituto nacional de formacion tecnica profesional de san juan del cesar","principal",1,"oficial",3,"institucion tecnica profesional",44,"la guajira",44650,"san juan del cesar",2014,1,0,0,0,0,0
4110,4110,"instituto tolimense de formacion tecnica profesional","principal",1,"oficial",3,"institucion tecnica profesional",73,"tolima",73268,"espinal",2014,1,0,0,0,0,0
2901,2901,"escuela de inteligencia y contrainteligencia brigadier general ricardo charry solano","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,25,5,2,2,34
2102,2102,"universidad nacional abierta y a distancia unad","principal",1,"oficial",3,"universidad",11,"bogota d.c.",11001,"bogota d.c.",2014,1,0,0,0,0,0
2904,2904,"escuela superior de guerra","principal",1,"oficial",3,"institucion universitaria/escuela tecnologica",11,"bogota d.c.",11001,"bogota d.c.",2014,1,128,53,62,4,247
