"codigo.del..municipio..ies.","codigo.del..departamento..ies.","id.caracter.ies","ies.padre","codigo.de..la.institucion","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","caracter.ies","departamento.de..domicilio.de.la.ies","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2017,1,27,2,5,5,39
5001,5,3,9120,9120,"fundacion universitaria bellas artes","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2021,2,4,9,21,5,39
5001,5,3,3703,3703,"fundacion escuela colombiana de mercadotecnia -escolme-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,6,12,32,4,54
5001,5,3,3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2020,2,56,15,80,53,204
5001,5,3,3703,3703,"fundacion escuela colombiana de mercadotecnia -escolme-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,4,20,23,10,57
5001,5,4,1818,1816,"universidad cooperativa de colombia","seccional",2,"privada","universidad","antioquia","medellin",2019,2,127,137,255,55,574
5001,5,3,3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,2,56,15,80,53,204
5001,5,3,3703,3703,"fundacion escuela colombiana de mercadotecnia -escolme-","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,2,17,8,47,6,78
5001,5,3,2749,2749,"institucion universitaria  salazar y herrera","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,2,38,8,50,2,98
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2018,1,820,150,589,177,1736
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2021,1,63,12,27,13,115
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,65,19,25,10,119
5001,5,3,3720,3720,"fundacion universitaria esumer","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,2,21,142,55,18,236
