MINISTERIO DE EDUCACION NACIONAL;;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2017;;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: 6 de abril de 2018;;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las instituciones a través del SNIES;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Técnico;Profesional ;Directivo ;Total ;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;1;0;1;1;3;
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;0;0;4;1;5;
1823;1823;UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-;PRINCIPAL;2;PRIVADA;4;Universidad;68;SANTANDER;68001;BUCARAMANGA;2017;1;162;68;113;68;411;
1825;1825;UNIVERSIDAD AUTONOMA DE MANIZALES;PRINCIPAL;2;PRIVADA;4;Universidad;17;CALDAS;17001;MANIZALES;2017;2;96;27;71;5;199;
1832;1832;UNIVERSIDAD TECNOLOGICA DE BOLIVAR;PRINCIPAL;2;PRIVADA;4;Universidad;13;BOLIVAR;13001;CARTAGENA;2017;1;90;30;60;30;210;
2702;2702;FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;90;10;57;55;212;
2702;2702;FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;90;10;57;55;212;
2738;2738;FUNDACION UNIVERSITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE BOGOTA;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;19;14;51;6;90;
2743;2743;FUNDACION UNIVERSITARIA INTERNACIONAL DEL TROPICO AMERICANO;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;85;CASANARE;85001;YOPAL;2017;2;2;0;1;1;4;
2837;2837;CORPORACION UNIVERSITARIA REPUBLICANA;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;8;7;10;1;26;
2837;2837;CORPORACION UNIVERSITARIA REPUBLICANA;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;0;0;6;1;7;
2837;2837;CORPORACION UNIVERSITARIA REPUBLICANA;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;1;1;1;1;4;
2837;2837;CORPORACION UNIVERSITARIA REPUBLICANA;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;1;0;3;1;5;
2837;2837;CORPORACION UNIVERSITARIA REPUBLICANA;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;1;0;3;1;5;
9129;9129;FUNDACION UNIVERSITARIA CAFAM -UNICAFAM;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;1;0;0;1;2;
9129;9129;FUNDACION UNIVERSITARIA CAFAM -UNICAFAM;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;0;0;1;0;1;
9129;9129;FUNDACION UNIVERSITARIA CAFAM -UNICAFAM;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;1;0;0;1;2;
9129;9129;FUNDACION UNIVERSITARIA CAFAM -UNICAFAM;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;2;1;0;1;4;
9129;9129;FUNDACION UNIVERSITARIA CAFAM -UNICAFAM;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;0;0;1;0;1;
9129;9129;FUNDACION UNIVERSITARIA CAFAM -UNICAFAM;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;2;1;3;0;6;
9129;9129;FUNDACION UNIVERSITARIA CAFAM -UNICAFAM;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;0;0;1;0;1;
9107;9107;ESCUELA DE INGENIEROS MILITARES;PRINCIPAL;1;OFICIAL;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;10;5;147;21;183;
3712;3712;FUNDACION CENTRO DE INVESTIGACION DOCENCIA Y CONSULTORIA ADMINISTRATIVA-F-CIDCA-;PRINCIPAL;2;PRIVADA;2;Institución Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;57;12;45;41;155;
2724;2724;FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;68;SANTANDER;68679;SAN GIL;2017;2;59;8;19;27;113;
2724;2724;FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;68;SANTANDER;68679;SAN GIL;2017;2;13;3;3;1;20;
3115;3115;INSTITUTO TECNOLOGICO DEL PUTUMAYO;PRINCIPAL;1;OFICIAL;2;Institución Tecnológica;86;PUTUMAYO;86001;MOCOA;2017;2;6;5;5;3;19;
1720;1720;UNIVERSIDAD MARIANA;PRINCIPAL;2;PRIVADA;4;Universidad;52;NARINIO;52001;PASTO;2017;1;119;26;615;4;764;
3702;3702;FUNDACION TECNOLOGICA AUTONOMA DE BOGOTA-FABA-;PRINCIPAL;2;PRIVADA;2;Institución Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;4;9;3;16;32;
9905;9905;FUNDACION ESCUELA TECNOLOGICA DE NEIVA - JESUS OVIEDO PEREZ -FET;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;41;HUILA;41615;RIVERA;2017;1;8;7;8;8;31;
3706;3706;FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.;PRINCIPAL;2;PRIVADA;2;Institución Tecnológica;76;VALLE DEL CAUCA;76001;CALI;2017;2;12;46;23;2;83;
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;PRINCIPAL;1;OFICIAL;4;Universidad;25;CUNDINAMARCA;25290;FUSAGASUGA;2017;2;30;8;4;2;44;
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2017;1;220;210;32;12;474;
1709;1709;UNIVERSIDAD CENTRAL;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;2;283;87;228;33;631;
1709;1709;UNIVERSIDAD CENTRAL;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;278;88;222;31;619;
2901;2901;ESCUELA DE INTELIGENCIA Y CONTRAINTELIGENCIA BRIGADIER GENERAL RICARDO CHARRY SOLANO;PRINCIPAL;1;OFICIAL;3;Institución Universitaria/Escuela Tecnológica;11;BOGOTA D.C;11001;BOGOTA D.C.;2017;1;20;31;10;4;65;
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;PRINCIPAL;1;OFICIAL;4;Universidad;54;NORTE DE SANTANDER;54001;CUCUTA;2017;1;184;3;146;7;340;
2720;2720;FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS;PRINCIPAL;2;PRIVADA;3;Institución Universitaria/Escuela Tecnológica;15;BOYACA;15001;TUNJA;2017;1;82;32;43;3;160;
3107;3107;INSTITUCIÓN UNIVERSITARIA PASCUAL BRAVO;PRINCIPAL;1;OFICIAL;3;Institución Universitaria/Escuela Tecnológica;5;ANTIOQUIA;5001;MEDELLIN;2017;2;1;0;2;1;4;
3107;3107;INSTITUCIÓN UNIVERSITARIA PASCUAL BRAVO;PRINCIPAL;1;OFICIAL;3;Institución Universitaria/Escuela Tecnológica;5;ANTIOQUIA;5001;MEDELLIN;2017;2;1;0;1;1;3;
3107;3107;INSTITUCIÓN UNIVERSITARIA PASCUAL BRAVO;PRINCIPAL;1;OFICIAL;3;Institución Universitaria/Escuela Tecnológica;5;ANTIOQUIA;5001;MEDELLIN;2017;2;3;0;0;0;3;
3107;3107;INSTITUCIÓN UNIVERSITARIA PASCUAL BRAVO;PRINCIPAL;1;OFICIAL;3;Institución Universitaria/Escuela Tecnológica;5;ANTIOQUIA;5001;MEDELLIN;2017;1;2;0;0;1;3;
