;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2018;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Junio de 2019;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o 
Seccional";ID Sector IES;Sector IES;ID Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Tecnico;Profesional;Directivo;Total
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;805;231;871;36;1943
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2018;1;27;263;310;81;681
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2018;2;26;236;328;87;677
1704;1704;UNIVERSIDAD SANTO TOMAS;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;251;189;165;198;803
1704;1704;UNIVERSIDAD SANTO TOMAS;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;208;191;184;204;787
1706;1706;UNIVERSIDAD EXTERNADO DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;297;85;459;52;893
1706;1706;UNIVERSIDAD EXTERNADO DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;297;85;459;52;893
1707;1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;6;230;250;51;537
1708;1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;SECCIONAL;2;PRIVADA;4;Universidad;13;BOLIVAR;13001;CARTAGENA;2018;1;6;230;250;51;537
1709;1709;UNIVERSIDAD CENTRAL;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;276;102;231;29;638
1709;1709;UNIVERSIDAD CENTRAL;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;282;104;232;29;647
1710;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;PRINCIPAL;2;PRIVADA;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2018;1;260;386;717;114;1477
1710;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;PRINCIPAL;2;PRIVADA;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2018;2;186;399;751;117;1453
1711;1711;UNIVERSIDAD DE LA SABANA;PRINCIPAL;2;PRIVADA;4;Universidad;25;CUNDINAMARCA;25175;CHIA;2018;1;401;282;423;90;1196
1711;1711;UNIVERSIDAD DE LA SABANA;PRINCIPAL;2;PRIVADA;4;Universidad;25;CUNDINAMARCA;25175;CHIA;2018;2;331;284;442;92;1149
1712;1712;UNIVERSIDAD EAFIT-;PRINCIPAL;2;PRIVADA;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2018;1;588;112;643;35;1378
1712;1712;UNIVERSIDAD EAFIT-;PRINCIPAL;2;PRIVADA;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2018;2;588;112;643;35;1378
1713;1713;UNIVERSIDAD DEL NORTE;PRINCIPAL;2;PRIVADA;4;Universidad;8;ATLANTICO;8001;BARRANQUILLA;2018;1;400;176;458;39;1073
1713;1713;UNIVERSIDAD DEL NORTE;PRINCIPAL;2;PRIVADA;4;Universidad;8;ATLANTICO;8001;BARRANQUILLA;2018;2;400;176;458;39;1073
1714;1714;COLEGIO MAYOR DE NUESTRA SEÃ‘ORA DEL ROSARIO;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;10;0;14;1;25
1715;1715;FUNDACION UNIVERSIDAD DE AMERICA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;75;1;46;28;150
1715;1715;FUNDACION UNIVERSIDAD DE AMERICA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;72;1;45;27;145
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2018;1;77;150;53;13;293
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;Universidad;76;VALLE DEL CAUCA;76001;CALI;2018;2;75;158;57;13;303
1717;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2018;1;131;12;74;26;243
1717;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;Universidad;5;ANTIOQUIA;5001;MEDELLIN;2018;2;131;12;76;25;244
1718;1718;UNIVERSIDAD DE SAN BUENAVENTURA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;83;30;49;26;188
1718;1718;UNIVERSIDAD DE SAN BUENAVENTURA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;83;30;49;26;188
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;1;97;172;215;25;509
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;Universidad;11;BOGOTA D.C;11001;BOGOTA D.C.;2018;2;97;172;215;25;509
1720;1720;UNIVERSIDAD MARIANA;PRINCIPAL;2;PRIVADA;4;Universidad;52;NARIÃ‘O;52001;PASTO;2018;1;170;24;58;10;262
1720;1720;UNIVERSIDAD MARIANA;PRINCIPAL;2;PRIVADA;4;Universidad;52;NARIÃ‘O;52001;PASTO;2018;2;170;24;58;10;262
1722;1722;UNIVERSIDAD DE MANIZALES;PRINCIPAL;2;PRIVADA;4;Universidad;17;CALDAS;17001;MANIZALES;2018;1;28;87;157;9;281
1722;1722;UNIVERSIDAD DE MANIZALES;PRINCIPAL;2;PRIVADA;4;Universidad;17;CALDAS;17001;MANIZALES;2018;2;30;69;96;27;222
1723;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;Universidad;68;SANTANDER;68001;BUCARAMANGA;2018;1;138;64;87;9;298
1723;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;Universidad;68;SANTANDER;68001;BUCARAMANGA;2018;2;144;65;87;9;305
1724;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;Universidad;13;BOLIVAR;13001;CARTAGENA;2018;1;70;37;23;24;154
