;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2021;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: Mayo de 2022;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las Instituciones de Educación Superior a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Carácter IES;Carácter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Año;Semestre;Auxiliar;Técnico;Profesional;Directivo;Total
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76001;Cali;2021;2;54;189;362;44;649
1717;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;5;Antioquia;5001;Medellín;2021;1;75;7;78;26;186
1717;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;5;Antioquia;5001;Medellín;2021;2;93;15;73;26;207
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;88;152;209;29;478
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;83;152;207;30;472
1720;1720;UNIVERSIDAD MARIANA;Principal;2;PRIVADA;4;Universidad;52;Nariño;52001;Pasto;2021;1;44;91;85;9;229
1720;1720;UNIVERSIDAD MARIANA;Principal;2;PRIVADA;4;Universidad;52;Nariño;52001;Pasto;2021;2;118;10;40;27;195
1722;1722;UNIVERSIDAD DE MANIZALES;Principal;2;PRIVADA;4;Universidad;17;Caldas;17001;Manizales;2021;1;19;68;88;29;204
1722;1722;UNIVERSIDAD DE MANIZALES;Principal;2;PRIVADA;4;Universidad;17;Caldas;17001;Manizales;2021;2;22;69;101;30;222
1723;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;68;Santander;68001;Bucaramanga;2021;1;90;47;79;9;225
1723;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;68;Santander;68001;Bucaramanga;2021;2;104;48;80;9;241
1724;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2021;1;63;14;21;38;136
1724;1718;UNIVERSIDAD DE SAN BUENAVENTURA;Seccional;2;PRIVADA;4;Universidad;13;Bolívar;13001;Cartagena de Indias;2021;2;57;28;30;43;158
1725;1725;FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;69;39;35;27;170
1725;1725;FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;4;55;40;25;124
1726;1726;UNIVERSIDAD CATOLICA DE ORIENTE -UCO;Principal;2;PRIVADA;4;Universidad;5;Antioquia;5615;Rionegro;2021;1;70;49;328;36;483
1727;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;23;Córdoba;23001;Montería;2021;1;27;60;70;37;194
1727;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;23;Córdoba;23001;Montería;2021;2;30;61;65;34;190
1728;1728;UNIVERSIDAD SERGIO ARBOLEDA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;165;119;199;104;587
1728;1728;UNIVERSIDAD SERGIO ARBOLEDA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;178;109;200;109;596
1729;1729;UNIVERSIDAD EL BOSQUE;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;86;262;219;4;571
1729;1729;UNIVERSIDAD EL BOSQUE;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;70;280;191;4;545
1730;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76520;Palmira;2021;1;8;20;83;10;121
1730;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle del Cauca;76520;Palmira;2021;2;8;13;85;10;116
1732;1704;UNIVERSIDAD SANTO TOMAS;Seccional;2;PRIVADA;4;Universidad;15;Boyacá;15001;Tunja;2021;1;70;8;69;60;207
1732;1704;UNIVERSIDAD SANTO TOMAS;Seccional;2;PRIVADA;4;Universidad;15;Boyacá;15001;Tunja;2021;2;70;8;69;60;207
1733;1728;UNIVERSIDAD SERGIO ARBOLEDA;Seccional;2;PRIVADA;4;Universidad;47;Magdalena;47001;Santa Marta;2021;1;46;73;64;27;210
1733;1728;UNIVERSIDAD SERGIO ARBOLEDA;Seccional;2;PRIVADA;4;Universidad;47;Magdalena;47001;Santa Marta;2021;2;43;73;68;27;211
1734;1734;UNIVERSIDAD DE BOYACA UNIBOYACA;Principal;2;PRIVADA;4;Universidad;15;Boyacá;15001;Tunja;2021;1;39;1;42;19;101
1734;1734;UNIVERSIDAD DE BOYACA UNIBOYACA;Principal;2;PRIVADA;4;Universidad;15;Boyacá;15001;Tunja;2021;2;39;1;42;19;101
1735;1735;UNIVERSIDAD MANUELA BELTRAN-UMB-;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;71;74;442;44;631
1735;1735;UNIVERSIDAD MANUELA BELTRAN-UMB-;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;2;66;56;471;49;642
1801;1801;UNIVERSIDAD LA GRAN COLOMBIA;Principal;2;PRIVADA;4;Universidad;11;Bogotá D.C.;11001;Bogotá, D.C.;2021;1;187;48;120;41;396
