MINISTERIO DE EDUCACION NACIONAL;;;;;;;;;;;;;;;;;;
PERSONAL ADMINISTRATIVO EN INSTITUCIONES DE EDUCACIÓN SUPERIOR - COLOMBIA 2015;;;;;;;;;;;;;;;;;;
Fecha de corte de la información: 16 de mayo de 2016;;;;;;;;;;;;;;;;;;
Fuente: Ministerio de Educación Nacional - Sistema Nacional de Información de la Educación Superior - SNIES;;;;;;;;;;;;;;;;;;
La información suministrada corresponde a lo reportado por las instituciones a través del SNIES;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Código de 
la Institución";IES PADRE;Institución de Educación Superior (IES);"Principal
 o
Seccional";Id Sector IES;Sector IES;Id Caracter IES;Caracter IES;"Código del 
departamento
(IES)";"Departamento de 
domicilio de la IES";"Código del 
Municipio
(IES)";"Municipio de
domicilio de la IES";Año;Semestre;Auxiliar;Servicios;Profesional;Directivo;Total
1204;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2015;2;494;171;460;92;1.217
1205;1205;UNIVERSIDAD DE CARTAGENA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;13;BOLIVAR;13001;CARTAGENA;2015;1;437;141;132;122;832
1205;1205;UNIVERSIDAD DE CARTAGENA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;13;BOLIVAR;13001;CARTAGENA;2015;2;388;165;150;125;828
1206;1206;UNIVERSIDAD DE NARIÑO;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;52;NARINO;52001;PASTO;2015;1;238;186;207;25;656
1206;1206;UNIVERSIDAD DE NARIÑO;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;52;NARINO;52001;PASTO;2015;2;431;67;169;43;710
1207;1207;UNIVERSIDAD DEL TOLIMA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;73;TOLIMA;73001;IBAGUE;2015;1;281;153;158;75;667
1208;1208;UNIVERSIDAD DEL QUINDIO;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;63;QUINDIO;63001;ARMENIA;2015;1;147;52;51;24;274
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;54;NORTE DE SANTANDER;54001;CUCUTA;2015;1;183;42;128;15;368
1209;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;54;NORTE DE SANTANDER;54001;CUCUTA;2015;2;189;43;127;15;374
1210;1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;54;NORTE DE SANTANDER;54498;OCAÑA;2015;2;206;35;210;10;461
1212;1212;UNIVERSIDAD DE PAMPLONA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;54;NORTE DE SANTANDER;54518;PAMPLONA;2015;1;186;3;74;72;335
1212;1212;UNIVERSIDAD DE PAMPLONA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;54;NORTE DE SANTANDER;54518;PAMPLONA;2015;2;181;3;74;72;330
1213;1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;47;MAGDALENA;47001;SANTA MARTA;2015;1;1;107;87;57;252
1213;1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;47;MAGDALENA;47001;SANTA MARTA;2015;2;1;106;92;57;256
1215;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;25;CUNDINAMARCA;25307;GIRARDOT;2015;1;41;4;6;2;53
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;25;CUNDINAMARCA;25290;FUSAGASUGA;2015;1;159;87;105;13;364
1216;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;25;CUNDINAMARCA;25843;VILLA DE SAN DIEGO DE UBATE;2015;1;15;4;6;1;26
1215;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;25;CUNDINAMARCA;25307;GIRARDOT;2015;2;41;4;6;2;53
1214;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;25;CUNDINAMARCA;25290;FUSAGASUGA;2015;2;177;92;105;15;389
1216;1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;SECCIONAL;1;OFICIAL;4;UNIVERSIDAD;25;CUNDINAMARCA;25843;VILLA DE SAN DIEGO DE UBATE;2015;2;15;4;5;1;25
1218;1218;UNIVERSIDAD DE LA GUAJIRA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;44;LA GUAJIRA;44001;RIOHACHA;2015;1;58;24;63;13;158
1218;1218;UNIVERSIDAD DE LA GUAJIRA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;44;LA GUAJIRA;44001;RIOHACHA;2015;2;58;24;63;13;158
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;851;151;707;35;1.744
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;1;169;19;434;73;695
1701;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;864;150;730;35;1.779
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;2;169;23;171;73;436
1704;1704;UNIVERSIDAD SANTO TOMAS;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;234;11;97;138;480
1706;1706;UNIVERSIDAD EXTERNADO DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;219;145;235;27;626
1706;1706;UNIVERSIDAD EXTERNADO DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;219;145;235;26;625
1707;1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;368;23;187;62;640
1709;1709;UNIVERSIDAD CENTRAL;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;325;47;201;26;599
1709;1709;UNIVERSIDAD CENTRAL;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;327;47;216;29;619
1727;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;23;CORDOBA;23001;MONTERIA;2015;1;34;59;54;37;184
1730;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76520;PALMIRA;2015;1;19;2;10;3;34
1727;1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;23;CORDOBA;23001;MONTERIA;2015;2;34;65;84;5;188
1711;1711;UNIVERSIDAD DE LA SABANA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;25;CUNDINAMARCA;25175;CHIA;2015;1;378;230;360;79;1.047
1711;1711;UNIVERSIDAD DE LA SABANA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;25;CUNDINAMARCA;25175;CHIA;2015;2;421;254;393;87;1.155
1713;1713;UNIVERSIDAD DEL NORTE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;8;ATLANTICO;8001;BARRANQUILLA;2015;1;343;159;400;44;946
1715;1715;FUNDACION UNIVERSIDAD DE AMERICA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;60;21;54;24;159
1715;1715;FUNDACION UNIVERSIDAD DE AMERICA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;62;19;55;24;160
1724;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;13;BOLIVAR;13001;CARTAGENA;2015;1;61;43;25;23;152
1717;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLIN;2015;1;91;35;79;23;228
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;1;159;42;33;45;279
1716;1718;UNIVERSIDAD DE SAN BUENAVENTURA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;2;159;41;31;44;275
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;291;0;177;33;501
1719;1719;UNIVERSIDAD CATOLICA DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;292;0;185;35;512
1722;1722;UNIVERSIDAD DE MANIZALES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;17;CALDAS;17001;MANIZALES;2015;2;92;20;67;12;191
1725;1725;FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;186;115;53;58;412
1726;1726;UNIVERSIDAD CATOLICA DE ORIENTE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;5;ANTIOQUIA;5615;RIONEGRO;2015;1;209;53;475;34;771
1726;1726;UNIVERSIDAD CATOLICA DE ORIENTE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;5;ANTIOQUIA;5615;RIONEGRO;2015;2;202;49;494;32;777
1733;1728;UNIVERSIDAD SERGIO ARBOLEDA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;47;MAGDALENA;47001;SANTA MARTA;2015;1;77;42;97;22;238
1728;1728;UNIVERSIDAD SERGIO ARBOLEDA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;173;154;191;81;599
1728;1728;UNIVERSIDAD SERGIO ARBOLEDA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;176;157;174;83;590
1729;1729;UNIVERSIDAD EL BOSQUE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;314;36;88;14;452
1729;1729;UNIVERSIDAD EL BOSQUE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;304;32;118;0;454
1734;1734;UNIVERSIDAD DE BOYACA UNIBOYACA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;15;BOYACA;15001;TUNJA;2015;1;69;2;67;17;155
1734;1734;UNIVERSIDAD DE BOYACA UNIBOYACA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;15;BOYACA;15001;TUNJA;2015;2;100;2;62;17;181
9122;1735;UNIVERSIDAD MANUELA BELTRAN-UMB-;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2015;1;50;14;26;25;115
1735;1735;UNIVERSIDAD MANUELA BELTRAN-UMB-;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;214;11;155;38;418
9122;1735;UNIVERSIDAD MANUELA BELTRAN-UMB-;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2015;2;47;16;29;25;117
1801;1801;UNIVERSIDAD LA GRAN COLOMBIA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;254;91;95;49;489
1802;1801;UNIVERSIDAD LA GRAN COLOMBIA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;63;QUINDIO;63001;ARMENIA;2015;1;57;6;26;19;108
1801;1801;UNIVERSIDAD LA GRAN COLOMBIA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;261;93;98;52;504
1802;1801;UNIVERSIDAD LA GRAN COLOMBIA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;63;QUINDIO;63001;ARMENIA;2015;2;54;6;26;20;106
1804;1804;UNIVERSIDAD AUTONOMA DEL CARIBE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;8;ATLANTICO;8001;BARRANQUILLA;2015;1;114;90;656;77;937
1804;1804;UNIVERSIDAD AUTONOMA DEL CARIBE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;8;ATLANTICO;8001;BARRANQUILLA;2015;2;232;141;164;68;605
1805;1805;UNIVERSIDAD SANTIAGO DE CALI;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;1;189;146;122;40;497
1829;1805;UNIVERSIDAD SANTIAGO DE CALI;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76520;PALMIRA;2015;1;29;23;6;4;62
1805;1805;UNIVERSIDAD SANTIAGO DE CALI;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;2;189;146;122;40;497
1829;1805;UNIVERSIDAD SANTIAGO DE CALI;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76520;PALMIRA;2015;2;29;23;6;4;62
1809;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;66;RISARALDA;66001;PEREIRA;2015;1;54;10;22;15;101
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;218;73;75;46;412
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;1;54;5;13;14;86
1810;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;54;NORTE DE SANTANDER;54001;CUCUTA;2015;1;16;26;18;15;75
1806;1806;UNIVERSIDAD LIBRE;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;218;73;75;46;412
1807;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;76;VALLE DEL CAUCA;76001;CALI;2015;2;54;5;13;14;86
1810;1806;UNIVERSIDAD LIBRE;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;54;NORTE DE SANTANDER;54001;CUCUTA;2015;2;16;41;15;9;81
1812;1812;UNIVERSIDAD DE MEDELLIN;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLIN;2015;1;163;24;952;37;1.176
1812;1812;UNIVERSIDAD DE MEDELLIN;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLIN;2015;2;163;24;952;37;1.176
1813;1813;UNIVERSIDAD DE LOS ANDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;587;190;586;109;1.472
1813;1813;UNIVERSIDAD DE LOS ANDES;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;2;611;200;592;116;1.519
1817;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2015;1;63;25;66;17;171
1820;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;47;MAGDALENA;47001;SANTA MARTA;2015;1;53;31;60;14;158
1818;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;PRINCIPAL;2;PRIVADA;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;2015;1;517;217;494;90;1.318
1816;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;5;ANTIOQUIA;5001;MEDELLIN;2015;1;162;62;207;33;464
1819;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68081;BARRANCABERMEJA;2015;1;24;8;32;5;69
1817;1818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;SECCIONAL;2;PRIVADA;4;UNIVERSIDAD;68;SANTANDER;68001;BUCARAMANGA;2015;2;62;25;58;17;162
